"Xkm" "Ykm" "Elev"
 270.000000 4840.00000 397.600006
 290.000000 4840.00000 234.500000
 310.000000 4840.00000 233.000000
 330.000000 4840.00000 222.500000
 350.000000 4840.00000 171.300003
 370.000000 4840.00000 90.5999985
 390.000000 4840.00000 39.9000015
 410.000000 4840.00000 3.40000010
 430.000000 4840.00000 3.29999995
 450.000000 4840.00000 0.00000000E+00
 130.000000 4860.00000 363.899994
 150.000000 4860.00000 113.500000
 170.000000 4860.00000 254.699997
 190.000000 4860.00000 553.900024
 210.000000 4860.00000 329.799988
 230.000000 4860.00000 365.200012
 250.000000 4860.00000 359.899994
 270.000000 4860.00000 416.799988
 290.000000 4860.00000 391.799988
 310.000000 4860.00000 391.600006
 330.000000 4860.00000 218.000000
 350.000000 4860.00000 178.800003
 370.000000 4860.00000 124.900002
 390.000000 4860.00000 95.6999969
 410.000000 4860.00000 40.7000008
 430.000000 4860.00000 14.3000002
 450.000000 4860.00000 14.1000004
 130.000000 4880.00000 372.100006
 150.000000 4880.00000 88.5000000
 170.000000 4880.00000 259.000000
 190.000000 4880.00000 581.799988
 210.000000 4880.00000 406.500000
 230.000000 4880.00000 454.500000
 250.000000 4880.00000 281.000000
 270.000000 4880.00000 561.599976
 290.000000 4880.00000 620.200012
 310.000000 4880.00000 610.799988
 330.000000 4880.00000 296.700012
 350.000000 4880.00000 159.000000
 370.000000 4880.00000 144.500000
 390.000000 4880.00000 115.800003
 410.000000 4880.00000 78.6999969
 430.000000 4880.00000 49.0999985
 450.000000 4880.00000 42.2999992
 130.000000 4900.00000 448.200012
 150.000000 4900.00000 82.0000000
 170.000000 4900.00000 204.399994
 190.000000 4900.00000 501.000000
 210.000000 4900.00000 349.799988
 230.000000 4900.00000 478.299988
 250.000000 4900.00000 335.200012
 270.000000 4900.00000 354.799988
 290.000000 4900.00000 670.700012
 310.000000 4900.00000 846.900024
 330.000000 4900.00000 601.500000
 350.000000 4900.00000 259.600006
 370.000000 4900.00000 206.899994
 390.000000 4900.00000 178.199997
 410.000000 4900.00000 106.099998
 430.000000 4900.00000 66.0000000
 450.000000 4900.00000 67.1999969
