GEO.DAT         2.1             Header structure with coordinate parameters                     
   2
Produced by MAKEGEO Version: 3.11  Level: 100301                                
5/19/2014                                                
UTM     
  33N   
WGS-84  02-21-2003  
      37      33     385.000    5041.000       1.000       1.000
KM  M   
 1          - LAND USE DATA - (1=new categories)
   14  50  55 - NLU, IWAT1, IWAT2
   10  20 -20  30  40  51  54  55  60  61  62  70  80  90
   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   3.20,  90.40, 140.00, 145.70, 193.40, 237.70, 249.40, 309.30, 369.60, 404.10, 339.80, 303.50, 269.20, 252.70, 273.70, 304.00, 331.90, 341.10, 339.90, 339.20, 342.40, 348.00, 371.60, 379.10, 494.30, 608.20, 566.10, 513.00
   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   4.10, 101.60, 173.90, 173.30, 204.60, 245.40, 269.40, 310.00, 401.10, 459.40, 472.90, 370.00, 280.00, 274.20, 295.60, 309.80, 328.30, 338.70, 331.30, 347.50, 355.90, 356.80, 383.70, 437.80, 546.10, 515.70, 520.00
   0.10,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.40,  88.60, 199.50, 202.90, 226.70, 256.70, 282.20, 346.80, 396.40, 471.30, 422.50, 379.30, 305.40, 294.90, 304.30, 312.30, 323.30, 345.70, 351.80, 350.00, 346.40, 398.00, 472.60, 518.40, 585.80, 569.20
   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   1.60, 128.00, 236.90, 227.40, 238.00, 251.00, 284.90, 356.60, 360.80, 360.30, 323.40, 360.80, 353.10, 320.40, 301.70, 319.40, 348.80, 362.80, 368.60, 380.70, 486.40, 498.00, 493.30, 561.60, 571.40
   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   7.10, 143.00, 242.20, 235.60, 243.50, 273.40, 292.20, 293.70, 347.40, 364.00, 389.00, 382.60, 375.70, 343.70, 313.90, 342.00, 348.20, 387.80, 409.10, 443.40, 502.10, 514.10, 466.70, 519.90
   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   8.30, 169.70, 248.40, 250.00, 262.10, 282.60, 292.00, 309.10, 324.40, 349.60, 371.60, 374.20, 391.10, 379.50, 410.40, 358.90, 376.10, 388.50, 404.80, 417.20, 478.30, 527.50, 514.70
   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   1.50,  24.40, 150.70, 269.80, 287.90, 289.90, 297.80, 304.70, 318.50, 321.90, 345.00, 354.40, 359.00, 385.30, 486.20, 409.60, 423.60, 409.60, 394.30, 406.30, 431.60, 502.00, 556.20
   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   3.20, 145.60, 317.50, 321.80, 315.30, 321.60, 312.90, 328.90, 341.30, 360.20, 371.30, 374.00, 448.90, 434.30, 445.80, 468.40, 432.20, 415.40, 417.50, 456.00, 454.70
   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   7.30, 121.70, 308.30, 346.10, 347.40, 328.90, 330.50, 379.60, 367.10, 378.90, 386.80, 427.30, 444.80, 521.30, 491.10, 487.90, 465.80, 431.60, 448.90, 430.60
   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.10,  71.30, 139.50, 248.80, 385.90, 364.90, 343.60, 391.90, 430.80, 397.10, 388.30, 410.20, 412.60, 455.70, 556.00, 487.90, 448.50, 444.20, 447.80, 437.50
   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   4.70,  63.70, 171.40, 182.70, 330.80, 379.40, 366.90, 414.90, 398.60, 390.50, 407.60, 419.30, 435.50, 486.00, 479.30, 452.50, 463.10, 439.90, 400.30
   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.30,  19.60,  54.90,  84.40, 146.60, 367.70, 360.90, 383.50, 389.50, 400.60, 422.90, 442.50, 458.60, 475.60, 479.70, 472.30, 481.30, 449.20, 423.90
   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   1.70,  23.50,  46.00,  56.80, 148.40, 174.50, 281.00, 366.90, 366.10, 378.60, 404.60, 535.70, 573.80, 593.60, 610.70, 592.90, 502.70, 478.10, 458.30, 459.60
   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   1.60,   9.30,  14.80,  60.40,  91.00, 178.50, 231.10, 320.30, 370.70, 387.00, 421.20, 534.20, 576.80, 590.60, 659.80, 647.00, 585.30, 534.70, 520.10, 508.50
   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.10,   0.50,   4.60,  39.10,  58.40, 106.40, 139.50, 196.40, 324.30, 356.20, 414.00, 442.40, 481.40, 555.80, 543.40, 628.30, 567.70, 553.40, 571.10, 624.50
